Accessed on Sun Oct 09 2016 10:45:10 GMT-0700 (PDT)
 
×

2288 Owners Of Avatar of Intrigue
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"AVATARS"
COMPLETION
 TheBeastie Last name	B	2×	17/53	  GET
 Morsmihi	A+	1×	35/53	  GET
 Gavin Ferguson	A+	1×	53/53	  GET
 Kithellfire	B-	1×	20/53	  GET
 Jesterstear	A+	1×	35/53	  GET
 Benhowarth531	A+	1×	45/53	  GET
 Xxderpydragonxx	D	1×	6/53	  GET
 Ax Trinity	A+	1×	28/53	  GET
 Tia Spykstra	A+	1×	38/53	  GET
 Jugo	A	1×	36/53	  GET
 Brandon Stewart	A+	1×	35/53	  GET
 Emily Hugo	B+	1×	28/53	  GET
 Lys	A+	1×	42/53	  GET
 Russell Pugh	A+	1×	38/53	  GET
 Gabriel Mestrallet	C	1×	35/53	  GET
 Kafiel.art	B+	1×	24/53	  GET
 Foxy_cz	B	1×	6/53	  GET
 Dorothee Rudolph	A+	1×	40/53	  GET
 99thking	A+	1×	39/53	  GET
 Zacanator	C	1×	21/53	  GET
 Roberto Torres	A+	1×	44/53	  GET
 Jenn	A+	1×	42/53	  GET
 Zenara Panadian	A+	1×	32/53	  GET
 Tyler Sutherland	A+	1×	37/53	  GET
 Rene Martinez Aguiar	C-	1×	19/53	  GET
 Zachary Nicoll	A+	1×	37/53	  GET
 Cat Anno	A+	1×	37/53	  GET
 Koolza	A	1×	19/53	  GET
 ChesireCat	C	1×	38/53	  GET
 Lafwyn	A+	1×	37/53	  GET
 cm77	A	1×	38/53	  GET
 Kyzeeruz	D	1×	17/53	  GET
 Tera	A+	1×	38/53	  GET
 Canaan	B-	1×	19/53	  GET
 Ianjbohn	B+	1×	39/53	  GET
 Schultz1077	A+	1×	42/53	  GET
 Lowkey Lyesmith	A+	1×	32/53	  GET
 Casa Ice	A+	1×	34/53	  GET
 Miguel Rosales	C	1×	7/53	  GET
 Mtyg1damm	C	1×	6/53	  GET
 Musleblast The Ultimate Gamer	A+	1×	34/53	  GET
 Raphael BN	B	1×	6/53	  GET
 Jape Niggits	C+	1×	29/53	  GET
 David Casey	A+	1×	35/53	  GET
 Ayumii	A+	1×	22/53	  GET
 Zerohcola	B-	1×	7/53	  GET
 Takun Yokaishi	B+	1×	47/53	  GET
 Spacegio	B	1×	36/53	  GET
 Collection Destroyer	C	1×	6/53	  GET
 Vaderspittbull	B	1×	6/53	  GET
 Sidharthranji	D	1×	15/53	  GET
 blackdustbloodline	A+	1×	37/53	  GET
 Kevondrec	B	1×	29/53	  GET
 Rosemary Foley	A-	1×	30/53	  GET
 Erik Miller	A+	1×	2/53	  GET
 dobbies	A+	1×	44/53	  GET
 Chris Dalakos	A+	1×	36/53	  GET
 Mjs543	A+	1×	29/53	  GET
 Steve Honekai	A+	1×	36/53	  GET
 David Hua	A+	1×	44/53	  GET
 Mizorath	A+	1×	42/53	  GET
 Jimmy Killoran	A+	1×	43/53	  GET
 Aleandro Paulino	A	1×	16/53	  GET
 Michelle Titus Parylak	A+	1×	39/53	  GET
 Copper Gears	C+	1×	10/53	  GET
 Ainsel	B	1×	39/53	  GET
 Mc_repsaj	B+	1×	32/53	  GET
 Dan Ho	A+	1×	42/53	  GET
 Wnd5kmqmt	C	1×	8/53	  GET
 Neonmobster_19868	A+	1×	28/53	  GET
 Damaged	A+	1×	33/53	  GET
 YoshtheGuardian	A+	1×	27/53	  GET
 Chesspiece	C+	1×	27/53	  GET
 Jax	A-	1×	41/53	  GET
 Darkcerb38	D+	1×	25/53	  GET
 Shadwe	A+	1×	42/53	  GET
 Chmeee	A	1×	46/53	  GET
 Dustinfolk88	A-	1×	23/53	  GET
 Amber Costley	A+	1×	37/53	  GET
 Magnus504	A	1×	33/53	  GET
 Tsukijinja	F+	1×	27/53	  GET
 Gozaburo	A	1×	28/53	  GET
 Normanus The Undying	A+	1×	43/53	  GET
 Chris23	C-	1×	21/53	  GET
 Teddy Bear	A+	1×	36/53	  GET
 Selena Pigeon	D	1×	18/53	  GET
 Haylee Moran	A+	1×	35/53	  GET
 Cassidy English	D-	1×	12/53	  GET
 Neonmobster_14484	A+	1×	29/53	  GET
 Kiki Lim	C+	1×	19/53	  GET
 Yury Korostelev	A+	1×	16/53	  GET
 Michael Plourde	A+	1×	52/53	  GET
 Lando	C	1×	35/53	  GET
 Cthulusaurusrex	A+	1×	26/53	  GET
 Eve Navarro	C	1×	24/53	  GET
 Hivemind	D-	1×	7/53	  GET
 Cooper	A+	1×	39/53	  GET
 Vongrak	A+	1×	37/53	  GET
 Adell Coulliette	C	1×	10/53	  GET
 Simplegeek451	A+	1×	35/53	  GET
 Imperator Furiosa	D	1×	22/53	  GET
 Iflipthecookie	B-	1×	43/53	  GET
 Heidi Utt	A+	1×	44/53	  GET
 Kim Kim Del Prado	B	1×	26/53	  GET
 Nadia Klinger	C+	1×	6/53	  GET
 Megan Brunger	D+	1×	20/53	  GET
 Alexander Elliott	A+	1×	36/53	  GET
 Yarrum	A+	1×	42/53	  GET
 Calvin Estrada	C+	1×	11/53	  GET
 Mikhail Desales	A	1×	28/53	  GET
 Aaron Johnston	A+	1×	24/53	  GET
 Kathleen Cosgrove	A-	1×	38/53	  GET
 Jett Ruocco	D+	1×	34/53	  GET
 Bailey Haddon	B-	1×	29/53	  GET
 Jacob Alering	D+	1×	21/53	  GET
 Allison9614	A+	1×	31/53	  GET
 Rachelle R	A+	1×	39/53	  GET
 Allahusnackbar	A+	1×	40/53	  GET
 Toshiro	F	1×	34/53	  GET
 Vilhelm	D	1×	19/53	  GET
 Bidounet	C+	1×	12/53	  GET
 Flyingbunnyninja	B-	1×	10/53	  GET
 Naomi Deltano	A+	1×	36/53	  GET
 Leonard Zc	C	1×	4/53	  GET
 Haku _	A+	1×	36/53	  GET
 Mario	A+	1×	36/53	  GET
 Will	A-	1×	10/53	  GET
 Coto616	A+	1×	38/53	  GET
 Neonmobster_19837	B	1×	7/53	  GET
 Ivanwinarta	B	1×	41/53	  GET
 Kristina Brungard	A-	1×	39/53	  GET
 Jen Knight	A	1×	28/53	  GET
 Telmo Manique	C	1×	5/53	  GET
 Sheldon Vanover	B+	1×	37/53	  GET
 Bilbo Swaggins	F	1×	18/53	  GET
 Joel Vergara	C-	1×	30/53	  GET
 Christopher Sullivan	B-	1×	12/53	  GET
 Orlando City SC Fan	A	1×	31/53	  GET
 Goldenace	A+	1×	38/53	  GET
 Kobi84	B	1×	2/53	  GET
 Brianna Flores	B	1×	37/53	  GET
 Squishy Nault	B	1×	6/53	  GET
 Ce.heil	A	1×	31/53	  GET
 Alex Rodriguez	F	1×	32/53	  GET
 Anouk b.	A+	1×	34/53	  GET
 xxsvdhxx	A+	1×	21/53	  GET
 Yure Mazzucco	B-	1×	9/53	  GET
 Mephisto	A+	1×	36/53	  GET
 Britta Bozarth	A	1×	36/53	  GET
 Altheas1986	A+	1×	4/53	  GET
 Gustavo Hernandez	B-	1×	28/53	  GET
 Neonmobster_7917	A+	1×	44/53	  GET
 Ayla Kirchner	C-	1×	7/53	  GET
 Neonmobster_16994	A-	1×	24/53	  GET
 Andrea Torrone	A	1×	49/53	  GET
 Neonmobster_13381	B-	1×	23/53	  GET
 Meredith Bowen	A	1×	12/53	  GET
 Danilo	C+	1×	39/53	  GET
 Makayla York	C	1×	6/53	  GET
 Sydney._.huang	B+	1×	31/53	  GET
 Adam Tanouye	A+	1×	48/53	  GET
 Internmediate	C+	1×	18/53	  GET
 Milleappeal	A+	1×	24/53	  GET
 Jari Marquez	C-	1×	23/53	  GET
 Melanie Rae	A+	1×	22/53	  GET
 Awesomesauce3983	D-	1×	32/53	  GET
 7dod	A+	1×	41/53	  GET
 Therealbobo34	A	1×	14/53	  GET
 Matthias Bramfitt	A+	1×	41/53	  GET
 Nicola19	A-	1×	35/53	  GET
 Robert Mitts	A	1×	38/53	  GET
 Number Six	A+	1×	40/53	  GET
 Miguel Tiago	B+	1×	32/53	  GET
 Krystal Timeless	C-	1×	36/53	  GET
 Jenna	A+	1×	40/53	  GET
 Lucy Heartfilia	A+	1×	35/53	  GET
 Hendrik Lian	B-	1×	38/53	  GET
 Randy Rodriguez	B	1×	39/53	  GET
 Pwzysk	A+	1×	36/53	  GET
 Madalina Aldea	A+	1×	38/53	  GET
 Gibae	C	1×	5/53	  GET
 Storyteller	B	1×	38/53	  GET
 Dario	B	1×	31/53	  GET
 FrozenBlood	B-	1×	36/53	  GET
 Hayley	A+	1×	44/53	  GET
 Josue Garcia Yza	B+	1×	33/53	  GET
 Discountav	A+	1×	38/53	  GET
 Eira	D	1×	5/53	  GET
 Gabriel Ashley	A+	1×	35/53	  GET
 Thaymian.rhym	B	1×	30/53	  GET
 Shawna Aponte	A+	1×	40/53	  GET
 Dadydie	C	1×	7/53	  GET
 Ryan Warbington	C+	1×	27/53	  GET
 Jenna Mia	A+	1×	3/53	  GET
 Kendy	A+	1×	42/53	  GET
 Neon7777	C+	1×	12/53	  GET
 Fezzdaddy	D+	1×	6/53	  GET
 Extremegamer1	A	1×	36/53	  GET
 Elizabeth Egelhoff	A	1×	31/53	  GET
 Pangoling	A-	1×	37/53	  GET
 Yomanasu	B	1×	32/53	  GET
 gaboleiro1235	A+	1×	40/53	  GET
 Darkbyte202064	B+	1×	22/53	  GET
 Ayumi	A+	1×	37/53	  GET
 Blakestapleton22	A+	1×	41/53	  GET
 NeOnMoBsTeR MaTt	A+	1×	35/53	  GET
 Abi Texidor Garcia	B+	1×	28/53	  GET
 J	A+	1×	32/53	  GET
 Sophie Degroote	A	1×	36/53	  GET
 Max	B-	1×	27/53	  GET
 Daniel Armas	A+	1×	40/53	  GET
 Neonmobster_17587	A+	1×	5/53	  GET
 Iperks2012	A-	1×	39/53	  GET
 Caellis	A+	1×	40/53	  GET
 Branson Strawderman	C+	1×	27/53	  GET
 Lawliet	A+	1×	49/53	  GET
 Daniel Mooney	A+	1×	20/53	  GET
 Namine	A+	1×	31/53	  GET
 Arturo Castro	C+	1×	27/53	  GET
 Jarid Waniger	A+	1×	32/53	  GET
 Dnau4tmoz	C+	1×	5/53	  GET
 Josh Henley	A+	1×	13/53	  GET
 Dank.pepe.shrek	C	1×	12/53	  GET
 Brian Robison	A-	1×	22/53	  GET
 Aira Cabauatan	B	1×	2/53	  GET
 Majordirewolf	A+	1×	40/53	  GET
 Melanie Easterbrook	A-	1×	38/53	  GET
 Rudolf Dizon	A-	1×	31/53	  GET
 Ben Finley	C	1×	20/53	  GET
 Collector_rj	C+	1×	23/53	  GET
 Kevin Behrendt	A	1×	41/53	  GET
 River	A+	1×	52/53	  GET
 Docgames80	A+	1×	23/53	  GET
 Chewbacca68	A+	1×	45/53	  GET
 Demica Wood	A-	1×	42/53	  GET
 Thelovelykylie	A+	1×	41/53	  GET
 Kristoffergoodman Hammoda	A	1×	27/53	  GET
 Crys Q	A+	1×	36/53	  GET
 Caramel Toffee	A+	1×	44/53	  GET
 Fernando Suasnavar	A	1×	44/53	  GET
 Blank RobinHood	A+	1×	38/53	  GET
 Effortlesspie	C	1×	16/53	  GET
 William La Grue	A+	1×	42/53	  GET
 Elyse B	A+	1×	40/53	  GET
 Heather Wisham	A+	1×	48/53	  GET
 Aris	A+	1×	38/53	  GET
 Shane Chipman	B+	1×	18/53	  GET
 Ramiz Yusifov	B	1×	35/53	  GET
 Drown the children	A+	1×	19/53	  GET
 jacald	A+	1×	12/53	  GET
 Andres133	B-	1×	31/53	  GET
 Jamie-Lee Turner	A+	1×	38/53	  GET
 Nevervescent	A+	1×	24/53	  GET
 Paül James Pionelo	A+	1×	31/53	  GET
 Cydragon	A+	1×	35/53	  GET
 Fejnav	A	1×	44/53	  GET
 Neonmobster_17779	A	1×	36/53	  GET
 wild_tardis	A+	1×	37/53	  GET
 Child's Heart	A+	1×	31/53	  GET
 Sam Lawrence	A+	1×	17/53	  GET
 Neonmobster_12060	C+	1×	36/53	  GET
 Arkvenium	B+	1×	48/53	  GET
 Lindsey Mian	A+	1×	45/53	  GET
 Peter Taylor	A+	1×	33/53	  GET
 Asiajones1410	C	1×	2/53	  GET
 Charrging	B-	1×	31/53	  GET
 Mark Kats	A+	1×	45/53	  GET
 Riley Grant	A+	1×	38/53	  GET
 Nihlus Feray	C+	1×	33/53	  GET
 Albertoquinonez	A+	1×	42/53	  GET
 Jake Moore	B	1×	30/53	  GET
 Jesse Goll	A+	1×	42/53	  GET
 Luis CarTi	F	1×	7/53	  GET
 Eqrest	B-	1×	7/53	  GET
 Datimie	A	1×	30/53	  GET
 Haruhisouma	B-	1×	28/53	  GET
 No.42	A+	1×	47/53	  GET
 No0126	A+	1×	20/53	  GET
 StrangeSisters	A+	1×	11/53	  GET
 Stephthemom	A+	1×	13/53	  GET
 Seaghdha Ravenson	F	1×	10/53	  GET
 Michael	A-	1×	23/53	  GET
 Rei_zer0	A	1×	31/53	  GET
 NuPunk	A+	1×	6/53	  GET
 Monique.ignacio551	B+	1×	41/53	  GET
 Jojoschubert101	B-	1×	11/53	  GET
 Chaos	A	1×	39/53	  GET
 Macklmore	A+	1×	42/53	  GET
 246vipfreezeray	A+	1×	38/53	  GET
 Meo_429	A+	1×	39/53	  GET
 Zolfarolf	B	1×	6/53	  GET
 Alessandro Negretti	A	1×	33/53	  GET
 Nant Chonnipa	B-	1×	11/53	  GET
 Neonmobster_19909	A+	1×	11/53	  GET
 Lopo Tanini	A	1×	41/53	  GET
 Alvaro Sierra	A+	1×	23/53	  GET
 Johnny Quest	A+	1×	25/53	  GET
 Dean Robinson	A+	1×	38/53	  GET
 Skebin	B+	1×	20/53	  GET
 DeltaPeng	A+	1×	18/53	  GET
 Ketson	A+	1×	34/53	  GET
 Mike Logaz	A+	1×	38/53	  GET
 Heather	A+	1×	9/53	  GET
 Trevar Perkins	B-	1×	20/53	  GET
 Neonmobster_14239	C	1×	34/53	  GET
 Luciferhart	C+	1×	9/53	  GET
 Francisco Romero	A+	1×	16/53	  GET
 sin	A+	1×	30/53	  GET
 Aivel :)	A+	1×	36/53	  GET
 The_anamex	A	1×	28/53	  GET
 Rom Andutan	D+	1×	38/53	  GET
 Puddin	A+	1×	35/53	  GET
 Matthew Russell Perez	F	1×	10/53	  GET
 Leandropeliciari99	A+	1×	45/53	  GET
 Ryan Sz	A+	1×	45/53	  GET
 Eru	D	1×	10/53	  GET
 Megan	A+	1×	27/53	  GET
 Akurachi	A	1×	29/53	  GET
 Mithosfall	A+	1×	35/53	  GET
 Chloe Abigail	A+	1×	34/53	  GET
 Thefluffyrussian	A+	1×	28/53	  GET
 Neonmobster_16150	B	1×	12/53	  GET
 Neonmobster_11955	A+	1×	38/53	  GET
 RayFromMars	A+	1×	21/53	  GET
 Fadeafterfall	A+	1×	27/53	  GET
 Sammy Scioli	A+	1×	22/53	  GET
 Neonmobster_19757	A+	1×	6/53	  GET
 Bear Daniels	A+	1×	31/53	  GET
 Lyss	B+	1×	36/53	  GET
 Qilin	B-	1×	43/53	  GET
 Rayden Kaze	A+	1×	38/53	  GET
 Artgirl62	C+	1×	29/53	  GET
 Undertoad	A+	1×	14/53	  GET
 Kyla	A+	1×	34/53	  GET
 Sana	A+	1×	35/53	  GET
 Joe	A+	1×	38/53	  GET
 Cee Cee	B+	1×	25/53	  GET
 Jay	A	1×	15/53	  GET
 Neonmobster_12467	A+	1×	32/53	  GET
 Brandon Annarella	C	1×	7/53	  GET
 Jezel Eguia	B	1×	29/53	  GET
 Sally Tseng	A+	1×	42/53	  GET
 Asuka Danora	B	1×	2/53	  GET
 Deferdus	C-	1×	23/53	  GET
 Robin Hood	B	1×	7/53	  GET
 Rachilli	A+	1×	40/53	  GET
 James Sasser	C	1×	15/53	  GET
 Magarthryx	A+	1×	40/53	  GET
 Sean Lopez	A+	1×	14/53	  GET
 Liam	A+	1×	23/53	  GET
 Quinten Desmyter	C	1×	6/53	  GET
 Gregu	A+	1×	39/53	  GET
 Neonmobster_19364	A	1×	27/53	  GET
 Redvoxel	B	1×	8/53	  GET
 TheCrowKing	A+	1×	40/53	  GET
 Chaun Yamat	A+	1×	39/53	  GET
 Inday Angelie	C	1×	6/53	  GET
 Pepe2nest	A	1×	38/53	  GET
 artshie	A+	1×	41/53	  GET
 Zack1gross	A+	1×	31/53	  GET
 John Cunnar	B	1×	17/53	  GET
 Marc Hatton	A+	1×	39/53	  GET
 Grayson Ingram	A+	1×	35/53	  GET
 Tien Lam	A+	1×	38/53	  GET
 Kesart	A	1×	36/53	  GET
 Regine Andaya	C-	1×	11/53	  GET
 Matt Drake	A	1×	43/53	  GET
 Still2benamed	A	1×	23/53	  GET
 Poppi	A+	1×	35/53	  GET
 Immissjc	B-	1×	26/53	  GET
 Thereal	B	1×	24/53	  GET
 Juunishi_master	A+	1×	5/53	  GET
 Tonyhotmail	A+	1×	31/53	  GET
 Vipul Thakur	A	1×	34/53	  GET
 Rulerofthepotatoes	A+	1×	42/53	  GET
 Ivano Latuconsina	A+	1×	34/53	  GET
 Alex Mena	B	1×	23/53	  GET
 Jessica Sentieri	C-	1×	6/53	  GET
 Ezzerhoden	A+	1×	37/53	  GET
 Elijah Huff	A+	1×	50/53	  GET
 Dylan Kingsley	B+	1×	26/53	  GET
 Taylah Reimers	B	1×	35/53	  GET
 TOUCHMOVE.	D+	1×	2/53	  GET
 Carson Peters	C+	1×	9/53	  GET
 Eric Walker	A	1×	39/53	  GET
 Rhythmicadditions	D	1×	32/53	  GET
 Ericka Smith	A+	1×	44/53	  GET
 Chilly Macs	A+	1×	13/53	  GET
 Reagan	B	1×	39/53	  GET
 Michelle Davies	C-	1×	30/53	  GET
 Zalthaksus Dracorex	C+	1×	32/53	  GET
 Cheekylala	A+	1×	37/53	  GET
 Lucina Pérez	A+	1×	40/53	  GET
 Partcloud	A+	1×	37/53	  GET
 Amelia	A+	1×	41/53	  GET
 Michael Kaczmer	A+	1×	36/53	  GET
 Der Blitz	B	1×	33/53	  GET
 Robb M.	A+	1×	26/53	  GET
 Rachel	A+	1×	33/53	  GET
 Mikeydonuts	A	1×	10/53	  GET
 Jacky Yuan	A-	1×	31/53	  GET
 Bluequail	C	1×	20/53	  GET
 juju 98	A+	1×	39/53	  GET
 Akbeegle Jensen McMillan	C	1×	5/53	  GET
 Michael Hunter	A-	1×	41/53	  GET
 Kastiel	A+	1×	26/53	  GET
 Jazzy	A+	1×	36/53	  GET
 Theawesome14ever	A+	1×	31/53	  GET
 Cherry Elias	A	1×	29/53	  GET
 Drew Leto	A+	1×	44/53	  GET
 James Goulart	A+	1×	39/53	  GET
 Mosarb Gonzalez	B-	1×	6/53	  GET
 Nuclearboss25	A	1×	33/53	  GET
 MrAce	C	1×	16/53	  GET
 Anonymous User	A+	1×	31/53	  GET
 Daniel Aguayo	B+	1×	4/53	  GET
 Onubeatricesimona	A+	1×	38/53	  GET
 Jnucreative Nuñez	F+	1×	38/53	  GET
 xephia	B-	1×	22/53	  GET
 Johnpc123	A+	1×	36/53	  GET
 Axelfox1982	A+	1×	38/53	  GET
 James Schaffer	A	1×	26/53	  GET
 Polly	A+	1×	31/53	  GET
 Nkeithart	A+	1×	44/53	  GET
 Tridus	A+	1×	33/53	  GET
 Greninja Hartmann	A+	1×	39/53	  GET
 Mariac	A	1×	33/53	  GET
 Meowsta	A+	1×	25/53	  GET
 Xavier Espinosa	D-	1×	21/53	  GET
 Azaes	B-	1×	39/53	  GET
 Sweet_imaginary	C+	1×	8/53	  GET
 Juan Armenta	D+	1×	6/53	  GET
 Sheepylink	A+	1×	40/53	  GET
 Dane Smith	A+	1×	31/53	  GET
 Neonmobster_19444	C	1×	20/53	  GET
 Gabbie Waffer Wants The Old Neonmob Back	A+	1×	41/53	  GET
 Mavneo	A+	1×	38/53	  GET
 DK Mel	B	1×	27/53	  GET
 Zhemberz	D+	1×	6/53	  GET
 Xandra Mirum	D	1×	12/53	  GET
 Lukeg.22522	A+	1×	17/53	  GET
 Linus Lundahl	A+	1×	33/53	  GET
 Derath	D	1×	14/53	  GET
 Lilith Wells	A	1×	41/53	  GET
 Jacko7794	A+	1×	6/53	  GET
 dalampasigan08	A-	1×	38/53	  GET
 Dragoness129	A	1×	13/53	  GET
 David Poulton	A+	1×	53/53	  GET
 Redman48	A+	1×	26/53	  GET
 Little_bat_draco	A+	1×	36/53	  GET
 R	A+	1×	30/53	  GET
 Nexos0506	A+	1×	28/53	  GET
 Matthew Conti	B	1×	4/53	  GET
 Joshua thinking of quiting	A+	1×	8/53	  GET
 IdoNotSayBlehBlehBleh	A+	1×	16/53	  GET
 Mirage Cooper-Karnes	A+	1×	31/53	  GET
 Potato42	A+	1×	14/53	  GET
 Monkey	A+	1×	37/53	  GET
 Charlie Bravo4	A+	1×	40/53	  GET
 Tallyhamilton10	A+	1×	37/53	  GET
 Nathy Loussop	A+	1×	40/53	  GET
 Rabidcakes	A	1×	27/53	  GET
 Jack Wilde	D+	1×	5/53	  GET
 Gekul	F	1×	16/53	  GET
 Dokutake	A	1×	20/53	  GET
 Mary Pieterse	C-	1×	6/53	  GET
 Inky Seawatir	A+	1×	34/53	  GET
 Jason	A+	1×	7/53	  GET
 Flussar	A	1×	27/53	  GET
 Jing Lu	F	1×	5/53	  GET
 FURGETTER	C	1×	5/53	  GET
 Noirix	D+	1×	35/53	  GET
 Spinezx	A+	1×	40/53	  GET
 Ari	A+	1×	38/53	  GET
 Katrina Rowley	A+	1×	40/53	  GET
 Imbrunoblue	B	1×	11/53	  GET
 Mizore	D	1×	7/53	  GET
 Acegkl	B+	1×	37/53	  GET
 Nick	A	1×	40/53	  GET
 Bill Ma	A+	1×	35/53	  GET
 Juan Paolo Ferrer	D	1×	34/53	  GET
 Ariane Mahaffey	A+	1×	41/53	  GET
 Robin Jones	A+	1×	32/53	  GET
 Michael Mosher	A+	1×	44/53	  GET
 Jojo Mochi	B+	1×	7/53	  GET
 Neonmobster_19855	B	1×	23/53	  GET
 MAD 420	B+	1×	29/53	  GET
 Zelfore	A+	1×	49/53	  GET
 Blacktiger99	C	1×	14/53	  GET
 Jvmagicman	A-	1×	34/53	  GET
 Neonmobster_19825	B	1×	20/53	  GET
 Canadianluigi	A+	1×	21/53	  GET
 Painlesspig	A+	1×	34/53	  GET
 A Dot	B-	1×	40/53	  GET
 Albert Pi	C	1×	8/53	  GET
 Erik Valencia	A+	1×	36/53	  GET
 Suzanna Baptiste	A+	1×	24/53	  GET
 Dads Eguia	B-	1×	32/53	  GET
 Zack Sledge	A-	1×	37/53	  GET
 Dawson.hanna	F	1×	4/53	  GET
 Zeynep Ferah	A	1×	36/53	  GET
 Random	A+	1×	38/53	  GET
 Sammy Jackles	A+	1×	27/53	  GET
 Papasmurfio	A+	1×	42/53	  GET
 Supa Bruh	A+	1×	6/53	  GET
 Mi - ga	A+	1×	16/53	  GET
 Sam	A+	1×	37/53	  GET
 Mary Sibayan	B+	1×	28/53	  GET
 Apollyon2318	A	1×	4/53	  GET
 Cinru Cross	A+	1×	38/53	  GET
 Neonmobster_15657	A	1×	31/53	  GET
 Azore	A+	1×	39/53	  GET
 Evan	B+	1×	40/53	  GET
 Pearson	A+	1×	40/53	  GET
 Oliver Hughes	A+	1×	29/53	  GET
 Cyroris	A+	1×	41/53	  GET
 Groggothebard	A+	1×	40/53	  GET
 Gameologist	A+	1×	26/53	  GET
 Leon Yonzon	A+	1×	40/53	  GET
 Dom Sammut	A+	1×	22/53	  GET
 Kevin Jonek	B	1×	29/53	  GET
 Anastasia Rozynska	C+	1×	41/53	  GET
 Mindz	C	1×	27/53	  GET
 Hey You're Cool	C+	1×	26/53	  GET
 HowNow MeowNow	A+	1×	30/53	  GET
 wyndham anderson	A+	1×	32/53	  GET
 Animeshark	A+	1×	43/53	  GET
 Patrickjhart99	C-	1×	13/53	  GET
 J.	B+	1×	26/53	  GET
 Juliana Coronado	C+	1×	39/53	  GET
 David Tapia	D+	1×	44/53	  GET
 Jack Crosby	A-	1×	13/53	  GET
 Matt Clark	A-	1×	43/53	  GET
 Husky Eldridge	A+	1×	39/53	  GET
 Neonmobster_18845	B	1×	31/53	  GET
 Zero.monroeville	A+	1×	41/53	  GET
 Adrian Kang	B	1×	31/53	  GET
 Targonca	A+	1×	40/53	  GET
 Mysterio13	A+	1×	31/53	  GET
 Ivett Jimenez	A+	1×	46/53	  GET
 Maria Stacy	A+	1×	44/53	  GET
 Vaelyx	A-	1×	39/53	  GET
 Maggie White	A+	1×	39/53	  GET
 Peggy JW	B	1×	39/53	  GET
 Demon Azazel	D+	1×	34/53	  GET
 César Otero	B	1×	9/53	  GET
 Carlos Solano Rodríguez	C+	1×	30/53	  GET
 David Selinger	A+	1×	38/53	  GET
 Ithan_85	F+	1×	11/53	  GET
 grim neon	B	1×	31/53	  GET
 Wangtangsoup	A+	1×	30/53	  GET
 Sarah Damitz	A	1×	30/53	  GET
 Teth	C	1×	7/53	  GET
 Hellsliver	B+	1×	33/53	  GET
 Pedro Castella	A	1×	40/53	  GET
 Vex Slasher	B+	1×	39/53	  GET
 Aware	A	1×	38/53	  GET
 Daniel Hasoon	C	1×	5/53	  GET
 Sean	A+	1×	13/53	  GET
 James McBeth	D	1×	16/53	  GET
 Jake Obnial	A+	1×	38/53	  GET
 Kellie Speckman	B+	1×	37/53	  GET
 Edilson Alves	A+	1×	41/53	  GET
 petitevoid	A+	1×	37/53	  GET
 James McLeod	A+	1×	38/53	  GET
 Joan Collette	A+	1×	31/53	  GET
 Tzel	A	1×	38/53	  GET
 I.m.	A-	1×	33/53	  GET
 Wumbo Boodoodoodoo	A+	1×	10/53	  GET
 Jorge Castro	B	1×	20/53	  GET
 Fireigloo	A+	1×	29/53	  GET
 Matthew Tso	A+	1×	28/53	  GET
 Cdprad	A+	1×	31/53	  GET
 Mike Corcoran	A	1×	28/53	  GET
 Jack Larson	A+	1×	24/53	  GET
 Whitetopia	C+	1×	20/53	  GET
 Battlekingomegaman	A+	1×	41/53	  GET
 David Phillips	F+	1×	45/53	  GET
 Laura	A+	1×	50/53	  GET
 James Millington	A+	1×	36/53	  GET
 Eita	B	1×	31/53	  GET
 Newmanjr.mjn Super Monkey	C-	1×	18/53	  GET
 Eodragon	A+	1×	36/53	  GET
 otter	A+	1×	25/53	  GET
 Mike Cundiff	A+	1×	40/53	  GET
 Ivy Liang	A+	1×	45/53	  GET
 Yulie Lor	B+	1×	21/53	  GET
 Suzi DelGrosso	A+	1×	12/53	  GET
 Mazentius	A-	1×	35/53	  GET
 BLACK_CAT	A+	1×	32/53	  GET
 Bronzepaw	A+	1×	41/53	  GET
 Ericpso	F	1×	10/53	  GET
 Hamiltoon73	A-	1×	33/53	  GET
 Richard reid	C	1×	2/53	  GET
 Jojo	A+	1×	41/53	  GET
 Whiteyes	B	1×	25/53	  GET
 Milythael	A+	1×	1/53	  GET
 Neonmobster_19590	C	1×	7/53	  GET
 Jennifer Ritz	A+	1×	44/53	  GET
 Ruemoon	A-	1×	46/53	  GET
 Mohammed Al-Sakiny	A+	1×	36/53	  GET
 Red Noxia	C+	1×	21/53	  GET
 Tyler	B-	1×	37/53	  GET
 Kaosknight	A+	1×	42/53	  GET
 Don Chin	C+	1×	27/53	  GET
 Classically Original	A+	1×	32/53	  GET
 Aradia Diane Willard	A	1×	32/53	  GET
 Drakorg Souls	C	1×	5/53	  GET
 Raoul Duke	A+	1×	42/53	  GET
 Dom Foord	A+	1×	29/53	  GET
 M.	A+	1×	29/53	  GET
 B_h_c	A	1×	18/53	  GET
 Paradox	B+	1×	29/53	  GET
 V4Violetta	A+	1×	39/53	  GET
 Edwin Cortes	A+	1×	44/53	  GET
 Veronica Bohrer	A+	1×	35/53	  GET
 Boyslie	A+	1×	35/53	  GET
 Falon Higgins	A	1×	38/53	  GET
